hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
8454,370110.3253789767,4.798695442591269,255282.04872864747,114828.27665032924,114828.27665032924
8455,411789.5166037528,4.874067622317833,269029.9343107727,142759.5822929801,142759.5822929801
8456,449701.25197622174,5.100184161497526,314280.9575170498,135420.29445917194,135420.29445917194
8457,532877.0071633211,5.288614610813937,356187.8894450196,176689.11771830154,176689.11771830154
8458,472459.4691797475,5.200680401132945,336631.3212119669,135828.1479677806,135828.1479677806
8459,618755.5245761174,5.137870251360808,322662.3439026437,296093.1806734737,296093.1806734737
8460,498983.5883263505,4.798695442591269,255282.04872864747,243701.53959770303,243701.53959770303
8461,530298.2481826869,4.296214244414172,170313.6509643602,359984.59721832664,359984.59721832664
8462,1330347.351632225,3.7937330462370764,101743.0062374802,1228604.345394745,1228604.345394745
8463,735463.7764873942,3.366624027786545,55462.91444521596,680000.8620421783,680000.8620421783
8464,493347.39743828087,2.5375300507943357,1741.3943568571758,491606.0030814237,491606.0030814237
8465,501921.435721082,2.449595841113344,0.0,501921.435721082,501921.435721082
8466,542484.5172676195,2.7762086199284566,12816.079964680386,529668.4373029391,529668.4373029391
8467,564281.6293053061,3.2410037282422706,44408.32808531981,519873.3012199863,519873.3012199863
8468,479528.5355769461,3.7560469563737944,97311.12206955822,382217.41350738786,382217.41350738786
8469,444346.276189209,4.158031914915471,149641.57447135443,294704.7017178546,294704.7017178546
8470,444249.3162736841,4.434396573912874,190985.72745736598,253263.5888163181,253263.5888163181
8471,442122.1085483386,4.585140933366003,216329.70624595898,225792.4023023796,225792.4023023796
8472,476801.5561765492,4.861505592363406,266738.6200470852,210062.93612946395,210062.93612946395
8473,445632.88668569794,5.100184161497526,314280.9575170498,131351.92916864814,131351.92916864814
8474,406252.0233447744,5.263490550905083,350600.29852129053,55651.72482348385,55651.72482348385
8475,442589.94146126165,5.401672880403784,381332.0486018016,61257.89285946003,61257.89285946003
8476,360816.774797141,5.590103329720195,427203.52703746,0.0,0.0
8477,371254.21601841046,5.753409719127752,470708.349175633,0.0,0.0
8478,381456.2819328571,5.891592048626453,507520.12175408716,0.0,0.0
8479,393499.38082962384,5.904154078580881,510866.64653394656,0.0,0.0
8480,464830.9013274497,6.3438251269858394,637897.1774862198,0.0,0.0
8481,488263.4368803818,6.155394677669429,582272.5088480155,0.0,0.0
8482,514078.5999188462,5.853905958763171,497480.5474145088,16598.052504337393,16598.052504337393
8483,633095.3812886191,5.188118371178518,333837.5257501025,299257.85553851665,299257.85553851665
8484,512536.9318841361,4.346462364231882,177830.76968908953,334706.16219504655,334706.16219504655
8485,511038.012910579,3.4671202674219637,64306.583533132805,446731.4293774462,446731.4293774462
