hour_of_year,demand_wh,wind_speed_ms,egen_wh,delta_e_wh,block_id,battery_soc_wh
4349,330738.1661338601,10.049632003241095,970816.153810023,640077.9876761629,446,98000000.0
4350,358807.2406447448,10.258999336641951,984383.1570143984,625575.9163696535,446,98000000.0
4351,429446.8293211751,8.967900780670005,828752.507078229,399305.67775705387,446,98000000.0
4352,415675.84251993126,8.863217113969577,809030.1042718684,393354.2617519371,446,98000000.0
4353,393360.6678810085,8.75853344726915,789307.7014655077,395947.0335844992,446,98000000.0
4354,384541.19027708087,8.514271558301482,743288.7615839993,358747.5713069184,446,98000000.0
4355,356560.5771688199,8.68874433613553,776159.4329279339,419598.85575911397,446,98000000.0
4356,331578.0641050511,8.653849780568722,769585.2986591471,438007.234554096,446,98000000.0
4357,283245.6875300076,8.967900780670005,828752.507078229,545506.8195482213,446,98000000.0
4358,290688.8492295082,9.177268114070863,861815.6605843995,571126.8113548913,446,98000000.0
4359,284206.10436819715,9.87515922540705,953468.024316078,669261.9199478809,446,98000000.0
4360,939288.5281042485,10.782417670144092,1000000.0,60711.47189575154,446,98000000.0
4361,425019.8120937648,10.084526558807905,973077.3210107522,548057.5089169875,446,98000000.0
4362,444555.0995170531,10.224104781075143,982121.9898136694,537566.8902966162,446,98000000.0
4363,466347.7182003831,9.77047555870662,941617.8332455894,475270.1150452063,446,98000000.0
4364,423366.1492009515,9.072584447370433,845861.869779254,422495.72057830245,446,98000000.0
4365,461314.2075220954,9.072584447370433,845861.869779254,384547.66225715855,446,98000000.0
4366,425270.5727634645,9.316846336338099,883087.3816579262,457816.8088944618,446,98000000.0
4367,389430.7075876982,8.339798780467437,706957.7438981617,317527.0363104635,446,98000000.0
4368,387935.0410773735,8.653849780568722,769585.2986591471,381650.2575817736,446,98000000.0
4369,310684.7086545772,8.16532600263339,670318.4605530121,359633.7518984349,446,98000000.0
4370,344822.277598811,7.2231730023295375,471252.6392556575,126430.36165684648,446,98000000.0
4371,315701.8522506212,7.048700224495491,437125.76391131803,121423.91166069685,446,98000000.0
4372,340977.3266569572,6.176336335325257,294227.24309400795,-46750.083562949265,447,97953249.91643704
4373,340102.9433330297,5.513339779555879,203376.85863684304,-136726.08469618665,447,97816523.83174086
4374,359465.5048963298,5.164394223887786,164280.63769632182,-195184.86720000795,447,97621338.96454085
4375,394216.9076534271,5.338867001721832,183682.0105914677,-210534.8970619594,447,97410804.0674789
4376,443525.7863069772,5.443550668422261,195322.8343285554,-248202.95197842183,447,97162601.11550048
4377,387406.7609347193,5.164394223887786,164280.63769632182,-223126.12323839747,447,96939474.99226208
4378,403140.333518975,5.338867001721832,183682.0105914677,-219458.3229275073,447,96720016.66933458
4379,359828.53100417886,5.513339779555879,203376.85863684304,-156451.67236733582,447,96563564.99696724
4380,339554.1491750486,5.932074446357591,259152.31625483112,-80401.83292021745,447,96483163.16404702
4381,282092.54948048794,6.385703668726113,325129.86150397424,43037.3120234863,448,96526200.47607051
4382,311095.3502275307,7.013805668928682,430300.3888424502,119205.03861491953,448,96645405.51468542
4383,340080.3,7.397645780163584,505379.514599997,165299.21459999704,448,96810704.72928542
4384,882821.7030785636,7.711696780264869,572057.970370377,-310763.7327081866,449,96499940.99657723
